icd_code,icd_version,long_title
99962,9,ABO incompatibility with acute hemolytic transfusion reaction
T80310,10,ABO incompatibility with acute hemolytic transfusion reaction
99963,9,ABO incompatibility with delayed hemolytic transfusion reaction
T80311,10,ABO incompatibility with delayed hemolytic transfusion reaction
44772,9,Abdominal aortic ectasia
I77811,10,Abdominal aortic ectasia
63301,9,Abdominal pregnancy with intrauterine pregnancy
O0001,10,Abdominal pregnancy with intrauterine pregnancy
63300,9,Abdominal pregnancy without intrauterine pregnancy
O0000,10,Abdominal pregnancy without intrauterine pregnancy
78940,9,"Abdominal rigidity, unspecified site"
R1930,10,"Abdominal rigidity, unspecified site"
78960,9,"Abdominal tenderness, unspecified site"
R10819,10,"Abdominal tenderness, unspecified site"
7875,9,Abnormal bowel sounds
R191,10,Abnormal bowel sounds
79092,9,Abnormal coagulation profile
R791,10,Abnormal coagulation profile
36863,9,Abnormal dark adaptation curve
H5361,10,Abnormal dark adaptation curve
R88,10,Abnormal findings in other body fluids and substances
R888,10,Abnormal findings in other body fluids and substances
R938,10,Abnormal findings on diagnostic imaging of other specified body structures
R9389,10,Abnormal findings on diagnostic imaging of other specified body structures
7966,9,Abnormal findings on neonatal screening
P09,10,Abnormal findings on neonatal screening
5223,9,Abnormal hard tissue formation in pulp
K043,10,Abnormal hard tissue formation in pulp
7810,9,Abnormal involuntary movements
R25,10,Abnormal involuntary movements
52451,9,Abnormal jaw closure
M2651,10,Abnormal jaw closure
78192,9,Abnormal posture
R293,10,Abnormal posture
7961,9,Abnormal reflex
R292,10,Abnormal reflex
36834,9,Abnormal retinal correspondence
H5331,10,Abnormal retinal correspondence
7864,9,Abnormal sputum
R093,10,Abnormal sputum
7831,9,Abnormal weight gain
R635,10,Abnormal weight gain
5202,9,Abnormalities of size and form of teeth
K002,10,Abnormalities of size and form of teeth
6163,9,Abscess of Bartholin's gland
N751,10,Abscess of Bartholin's gland
566,9,Abscess of anal and rectal regions
K61,10,Abscess of anal and rectal regions
37313,9,Abscess of eyelid
H0003,10,Abscess of eyelid
5695,9,Abscess of intestine
K630,10,Abscess of intestine
5720,9,Abscess of liver
K750,10,Abscess of liver
5131,9,Abscess of mediastinum
J853,10,Abscess of mediastinum
6012,9,Abscess of prostate
N412,10,Abscess of prostate
5273,9,Abscess of salivary gland
K113,10,Abscess of salivary gland
2541,9,Abscess of thymus
E321,10,Abscess of thymus
7441,9,Accessory auricle
Q170,10,Accessory auricle
V008,10,Accident on other pedestrian conveyance
V0089,10,Accident on other pedestrian conveyance
34931,9,Accidental puncture or laceration of dura during a procedure
G9741,10,Accidental puncture or laceration of dura during a procedure
37835,9,Accommodative component in esotropia
H5043,10,Accommodative component in esotropia
7916,9,Acetonuria
R824,10,Acetonuria
5360,9,Achlorhydria
K3183,10,Achlorhydria
36854,9,Achromatopsia
H5351,10,Achromatopsia
2762,9,Acidosis
E872,10,Acidosis
7060,9,Acne varioliformis
L702,10,Acne varioliformis
V8801,9,Acquired absence of both cervix and uterus
Z90710,10,Acquired absence of both cervix and uterus
V4571,9,Acquired absence of breast and nipple
Z901,10,Acquired absence of breast and nipple
V8803,9,Acquired absence of cervix with remaining uterus
Z90712,10,Acquired absence of cervix with remaining uterus
V4573,9,Acquired absence of kidney
Z905,10,Acquired absence of kidney
Z896,10,Acquired absence of leg above knee
Z8961,10,Acquired absence of leg above knee
Z895,10,Acquired absence of leg below knee
Z8951,10,Acquired absence of leg below knee
Z908,10,Acquired absence of other organs
Z9089,10,Acquired absence of other organs
Z904,10,Acquired absence of other specified parts of digestive tract
Z9049,10,Acquired absence of other specified parts of digestive tract
V8802,9,Acquired absence of uterus with remaining cervical stump
Z90711,10,Acquired absence of uterus with remaining cervical stump
6203,9,Acquired atrophy of ovary and fallopian tube
N833,10,Acquired atrophy of ovary and fallopian tube
N8333,10,Acquired atrophy of ovary and fallopian tube
2867,9,Acquired coagulation factor deficiency
D684,10,Acquired coagulation factor deficiency
7383,9,Acquired deformity of chest and rib
M954,10,Acquired deformity of chest and rib
7382,9,Acquired deformity of neck
M953,10,Acquired deformity of neck
7380,9,Acquired deformity of nose
M950,10,Acquired deformity of nose
7386,9,Acquired deformity of pelvis
M955,10,Acquired deformity of pelvis
2839,9,"Acquired hemolytic anemia, unspecified"
D599,10,"Acquired hemolytic anemia, unspecified"
28652,9,Acquired hemophilia
D68311,10,Acquired hemophilia
36862,9,Acquired night blindness
H5362,10,Acquired night blindness
V8812,9,Acquired partial absence of pancreas
Z90411,10,Acquired partial absence of pancreas
38051,9,Acquired stenosis of external ear canal secondary to trauma
H6131,10,Acquired stenosis of external ear canal secondary to trauma
V8811,9,Acquired total absence of pancreas
Z90410,10,Acquired total absence of pancreas
7020,9,Actinic keratosis
L570,10,Actinic keratosis
38151,9,Acute Eustachian salpingitis
H6801,10,Acute Eustachian salpingitis
51884,9,Acute and chronic respiratory failure
J962,10,Acute and chronic respiratory failure
36522,9,Acute angle-closure glaucoma
H4021,10,Acute angle-closure glaucoma
5224,9,Acute apical periodontitis of pulpal origin
K044,10,Acute apical periodontitis of pulpal origin
5400,9,Acute appendicitis with generalized peritonitis
K352,10,Acute appendicitis with generalized peritonitis
37205,9,Acute atopic conjunctivitis
H101,10,Acute atopic conjunctivitis
4660,9,Acute bronchitis
J20,10,Acute bronchitis
51911,9,Acute bronchospasm
J9801,10,Acute bronchospasm
5750,9,Acute cholecystitis
K810,10,Acute cholecystitis
5950,9,Acute cystitis
N300,10,Acute cystitis
37501,9,Acute dacryoadenitis
H0401,10,Acute dacryoadenitis
37532,9,Acute dacryocystitis
H0432,10,Acute dacryocystitis
5361,9,Acute dilatation of stomach
K310,10,Acute dilatation of stomach
46431,9,Acute epiglottitis with obstruction
J0511,10,Acute epiglottitis with obstruction
4612,9,Acute ethmoidal sinusitis
J012,10,Acute ethmoidal sinusitis
37202,9,Acute follicular conjunctivitis
H1001,10,Acute follicular conjunctivitis
4611,9,Acute frontal sinusitis
J011,10,Acute frontal sinusitis
52301,9,"Acute gingivitis, non-plaque induced"
K0501,10,"Acute gingivitis, non-plaque induced"
52300,9,"Acute gingivitis, plaque induced"
K0500,10,"Acute gingivitis, plaque induced"
27951,9,Acute graft-versus-host disease
D89810,10,Acute graft-versus-host disease
07041,9,Acute hepatitis C with hepatic coma
B1711,10,Acute hepatitis C with hepatic coma
99934,9,"Acute infection following transfusion, infusion, or injection of blood and blood products"
T8022,10,"Acute infection following transfusion, infusion, or injection of blood and blood products"
51633,9,Acute interstitial pneumonitis
J84114,10,Acute interstitial pneumonitis
5849,9,"Acute kidney failure, unspecified"
N179,10,"Acute kidney failure, unspecified"
4650,9,Acute laryngopharyngitis
J060,10,Acute laryngopharyngitis
20802,9,"Acute leukemia of unspecified cell type, in relapse"
C9502,10,"Acute leukemia of unspecified cell type, in relapse"
20801,9,"Acute leukemia of unspecified cell type, in remission"
C9501,10,"Acute leukemia of unspecified cell type, in remission"
683,9,Acute lymphadenitis
L04,10,Acute lymphadenitis
L0389,10,Acute lymphangitis of other sites
L03898,10,Acute lymphangitis of other sites
38302,9,Acute mastoiditis with other complications
H7009,10,Acute mastoiditis with other complications
38300,9,Acute mastoiditis without complications
H7000,10,Acute mastoiditis without complications
4610,9,Acute maxillary sinusitis
J010,10,Acute maxillary sinusitis
01800,9,"Acute miliary tuberculosis, unspecified"
A192,10,"Acute miliary tuberculosis, unspecified"
42290,9,"Acute myocarditis, unspecified"
I409,10,"Acute myocarditis, unspecified"
460,9,Acute nasopharyngitis [common cold]
J00,10,Acute nasopharyngitis [common cold]
27953,9,Acute on chronic graft-versus-host disease
D89812,10,Acute on chronic graft-versus-host disease
33811,9,Acute pain due to trauma
G8911,10,Acute pain due to trauma
5770,9,Acute pancreatitis
K85,10,Acute pancreatitis
6143,9,Acute parametritis and pelvic cellulitis
N730,10,Acute parametritis and pelvic cellulitis
42090,9,"Acute pericarditis, unspecified"
I309,10,"Acute pericarditis, unspecified"
38321,9,Acute petrositis
H7021,10,Acute petrositis
462,9,Acute pharyngitis
J02,10,Acute pharyngitis
33812,9,Acute post-thoracotomy pain
G8912,10,Acute post-thoracotomy pain
33921,9,Acute post-traumatic headache
G4431,10,Acute post-traumatic headache
2851,9,Acute posthemorrhagic anemia
D62,10,Acute posthemorrhagic anemia
6010,9,Acute prostatitis
N410,10,Acute prostatitis
5080,9,Acute pulmonary manifestations due to radiation
J700,10,Acute pulmonary manifestations due to radiation
9987,9,Acute reaction to foreign substance accidentally left during a procedure
T816,10,Acute reaction to foreign substance accidentally left during a procedure
51881,9,Acute respiratory failure
J960,10,Acute respiratory failure
3911,9,Acute rheumatic endocarditis
I011,10,Acute rheumatic endocarditis
3919,9,"Acute rheumatic heart disease, unspecified"
I019,10,"Acute rheumatic heart disease, unspecified"
3912,9,Acute rheumatic myocarditis
I012,10,Acute rheumatic myocarditis
3910,9,Acute rheumatic pericarditis
I010,10,Acute rheumatic pericarditis
6140,9,Acute salpingitis and oophoritis
N700,10,Acute salpingitis and oophoritis
N7003,10,Acute salpingitis and oophoritis
38101,9,Acute serous otitis media
H650,10,Acute serous otitis media
4619,9,"Acute sinusitis, unspecified"
J019,10,"Acute sinusitis, unspecified"
J0190,10,"Acute sinusitis, unspecified"
4613,9,Acute sphenoidal sinusitis
J013,10,Acute sphenoidal sinusitis
2450,9,Acute thyroiditis
E060,10,Acute thyroiditis
463,9,Acute tonsillitis
J03,10,Acute tonsillitis
J038,10,Acute tonsillitis due to other specified organisms
J0380,10,Acute tonsillitis due to other specified organisms
J039,10,"Acute tonsillitis, unspecified"
J0390,10,"Acute tonsillitis, unspecified"
46411,9,Acute tracheitis with obstruction
J0411,10,Acute tracheitis with obstruction
7260,9,Adhesive capsulitis of shoulder
M750,10,Adhesive capsulitis of shoulder
30924,9,Adjustment disorder with anxiety
F4322,10,Adjustment disorder with anxiety
3090,9,Adjustment disorder with depressed mood
F4321,10,Adjustment disorder with depressed mood
3093,9,Adjustment disorder with disturbance of conduct
F4324,10,Adjustment disorder with disturbance of conduct
30928,9,Adjustment disorder with mixed anxiety and depressed mood
F4323,10,Adjustment disorder with mixed anxiety and depressed mood
3094,9,Adjustment disorder with mixed disturbance of emotions and conduct
F4325,10,Adjustment disorder with mixed disturbance of emotions and conduct
2552,9,Adrenogenital disorders
E25,10,Adrenogenital disorders
7837,9,Adult failure to thrive
R627,10,Adult failure to thrive
3070,9,Adult onset fluency disorder
F985,10,Adult onset fluency disorder
5165,9,Adult pulmonary Langerhans cell histiocytosis
J8482,10,Adult pulmonary Langerhans cell histiocytosis
T40495,10,Adverse effect of other synthetic narcotics
T404X5,10,Adverse effect of other synthetic narcotics
T40495A,10,"Adverse effect of other synthetic narcotics, initial encounter"
T404X5A,10,"Adverse effect of other synthetic narcotics, initial encounter"
T40495S,10,"Adverse effect of other synthetic narcotics, sequela"
T404X5S,10,"Adverse effect of other synthetic narcotics, sequela"
T40495D,10,"Adverse effect of other synthetic narcotics, subsequent encounter"
T404X5D,10,"Adverse effect of other synthetic narcotics, subsequent encounter"
0865,9,"African trypanosomiasis, unspecified"
B569,10,"African trypanosomiasis, unspecified"
V5482,9,Aftercare following explantation of joint prosthesis
Z473,10,Aftercare following explantation of joint prosthesis
V2622,9,Aftercare following sterilization reversal
Z3142,10,Aftercare following sterilization reversal
V5842,9,Aftercare following surgery for neoplasm
Z483,10,Aftercare following surgery for neoplasm
52332,9,"Aggressive periodontitis, generalized"
K0522,10,"Aggressive periodontitis, generalized"
52331,9,"Aggressive periodontitis, localized"
K0521,10,"Aggressive periodontitis, localized"
52330,9,"Aggressive periodontitis, unspecified"
K0520,10,"Aggressive periodontitis, unspecified"
