original_icd_code,original_icd_version,canonical_icd_code,canonical_icd_version,long_title
99962,9,T80310,10,ABO incompatibility with acute hemolytic transfusion reaction
T80310,10,T80310,10,ABO incompatibility with acute hemolytic transfusion reaction
99963,9,T80311,10,ABO incompatibility with delayed hemolytic transfusion reaction
T80311,10,T80311,10,ABO incompatibility with delayed hemolytic transfusion reaction
44772,9,I77811,10,Abdominal aortic ectasia
I77811,10,I77811,10,Abdominal aortic ectasia
63301,9,O0001,10,Abdominal pregnancy with intrauterine pregnancy
O0001,10,O0001,10,Abdominal pregnancy with intrauterine pregnancy
63300,9,O0000,10,Abdominal pregnancy without intrauterine pregnancy
O0000,10,O0000,10,Abdominal pregnancy without intrauterine pregnancy
78940,9,R1930,10,"Abdominal rigidity, unspecified site"
R1930,10,R1930,10,"Abdominal rigidity, unspecified site"
78960,9,R10819,10,"Abdominal tenderness, unspecified site"
R10819,10,R10819,10,"Abdominal tenderness, unspecified site"
7875,9,R191,10,Abnormal bowel sounds
R191,10,R191,10,Abnormal bowel sounds
79092,9,R791,10,Abnormal coagulation profile
R791,10,R791,10,Abnormal coagulation profile
36863,9,H5361,10,Abnormal dark adaptation curve
H5361,10,H5361,10,Abnormal dark adaptation curve
R88,10,R88,10,Abnormal findings in other body fluids and substances
R888,10,R88,10,Abnormal findings in other body fluids and substances
R938,10,R938,10,Abnormal findings on diagnostic imaging of other specified body structures
R9389,10,R938,10,Abnormal findings on diagnostic imaging of other specified body structures
7966,9,P09,10,Abnormal findings on neonatal screening
P09,10,P09,10,Abnormal findings on neonatal screening
5223,9,K043,10,Abnormal hard tissue formation in pulp
K043,10,K043,10,Abnormal hard tissue formation in pulp
7810,9,R25,10,Abnormal involuntary movements
R25,10,R25,10,Abnormal involuntary movements
52451,9,M2651,10,Abnormal jaw closure
M2651,10,M2651,10,Abnormal jaw closure
78192,9,R293,10,Abnormal posture
R293,10,R293,10,Abnormal posture
7961,9,R292,10,Abnormal reflex
R292,10,R292,10,Abnormal reflex
36834,9,H5331,10,Abnormal retinal correspondence
H5331,10,H5331,10,Abnormal retinal correspondence
7864,9,R093,10,Abnormal sputum
R093,10,R093,10,Abnormal sputum
7831,9,R635,10,Abnormal weight gain
R635,10,R635,10,Abnormal weight gain
5202,9,K002,10,Abnormalities of size and form of teeth
K002,10,K002,10,Abnormalities of size and form of teeth
6163,9,N751,10,Abscess of Bartholin's gland
N751,10,N751,10,Abscess of Bartholin's gland
566,9,K61,10,Abscess of anal and rectal regions
K61,10,K61,10,Abscess of anal and rectal regions
37313,9,H0003,10,Abscess of eyelid
H0003,10,H0003,10,Abscess of eyelid
5695,9,K630,10,Abscess of intestine
K630,10,K630,10,Abscess of intestine
5720,9,K750,10,Abscess of liver
K750,10,K750,10,Abscess of liver
5131,9,J853,10,Abscess of mediastinum
J853,10,J853,10,Abscess of mediastinum
6012,9,N412,10,Abscess of prostate
N412,10,N412,10,Abscess of prostate
5273,9,K113,10,Abscess of salivary gland
K113,10,K113,10,Abscess of salivary gland
2541,9,E321,10,Abscess of thymus
E321,10,E321,10,Abscess of thymus
7441,9,Q170,10,Accessory auricle
Q170,10,Q170,10,Accessory auricle
V008,10,V008,10,Accident on other pedestrian conveyance
V0089,10,V008,10,Accident on other pedestrian conveyance
34931,9,G9741,10,Accidental puncture or laceration of dura during a procedure
G9741,10,G9741,10,Accidental puncture or laceration of dura during a procedure
37835,9,H5043,10,Accommodative component in esotropia
H5043,10,H5043,10,Accommodative component in esotropia
7916,9,R824,10,Acetonuria
R824,10,R824,10,Acetonuria
5360,9,K3183,10,Achlorhydria
K3183,10,K3183,10,Achlorhydria
36854,9,H5351,10,Achromatopsia
H5351,10,H5351,10,Achromatopsia
2762,9,E872,10,Acidosis
E872,10,E872,10,Acidosis
7060,9,L702,10,Acne varioliformis
L702,10,L702,10,Acne varioliformis
V8801,9,Z90710,10,Acquired absence of both cervix and uterus
Z90710,10,Z90710,10,Acquired absence of both cervix and uterus
