icd_full,hadm_freq
9-4019,102362
10-E785,84568
10-I10,83773
9-2724,67288
10-Z87891,62803
10-K219,56155
9-53081,48624
9-25000,43076
10-F329,41876
10-I2510,41548
10-F419,38910
9-42731,37063
9-4280,36606
9-311,36349
9-41401,36077
10-N179,35884
10-Z20822,33113
9-V1582,31704
10-Z7901,30956
9-5849,29135
9-2449,28519
10-E039,27999
10-Z794,27640
10-E119,26266
9-3051,25878
9-2859,24392
10-F17210,24106
10-G4733,23933
9-40390,23831
9-V5861,22634
9-30000,22399
10-E669,22004
10-D649,21137
10-I4891,21022
10-J45909,20677
9-5990,20385
10-Z7902,19961
9-2720,19880
10-Y929,19830
9-49390,19702
9-V5867,19600
10-D62,19356
10-Z66,18899
10-E1122,18564
10-J449,18023
9-5859,17872
9-32723,17556
10-E871,17068
10-N390,16696
10-I129,16650
10-E872,15995
9-V4582,15501
10-I110,15423
10-N189,15379
10-I252,15275
9-412,15180
10-Z8673,15126
10-G8929,14786
10-Z955,14481
9-V5866,14476
9-496,14465
9-27800,14216
10-Z86718,13706
9-V4581,13422
10-I480,13399
10-J9601,13339
10-I130,12946
10-K5900,12860
9-2761,12821
10-N400,12758
9-41400,12141
10-G4700,12134
9-73300,11893
9-30500,11791
9-33829,11630
9-V1251,11558
10-M109,11531
10-Z951,11267
10-D696,11260
9-486,11171
9-2749,10918
10-I5032,10787
9-27651,10762
9-V270,10619
9-V1254,10597
9-V4986,10529
10-Y92230,10288
9-78650,10263
10-E1165,10248
9-2851,10188
10-D509,10045
9-60000,9783
10-Z515,9752
10-E876,9735
10-E875,9654
9-56400,9542
9-2762,9535
10-D72829,9435
10-J189,9415
9-5856,9384
10-Z86711,9378
9-3572,9364
10-Z23,9363
10-M810,9287
9-42789,9274
10-Z370,8921
9-2875,8887
9-V6284,8851
10-I959,8845
10-N183,8797
10-E860,8706
9-78659,8669
10-R45851,8638
10-Y838,8436
9-40391,8427
9-42832,8358
10-N186,8358
9-78791,8272
10-M1990,8264
10-Y92239,8251
10-I5033,8118
10-E43,7950
9-V103,7917
10-E7800,7899
10-Y92009,7862
10-E6601,7803
10-E8339,7800
10-Z20828,7773
10-A419,7770
9-71590,7726
9-E8497,7691
9-4168,7585
9-2767,7558
10-I5022,7507
9-2809,7402
9-5853,7321
10-F4310,7315
10-G92,7291
10-Z781,7255
10-Z992,7163
9-51881,7131
10-Z85828,7098
10-Z9181,7087
10-E861,7082
10-D631,7049
9-4439,7031
10-Z853,7028
10-R339,7027
9-2768,7003
9-25060,6996
9-42822,6967
9-34590,6907
10-F319,6870
10-Z8249,6790
9-34690,6782
10-R0902,6757
9-27801,6748
10-R197,6717
9-28860,6664
10-R000,6616
9-V4501,6597
10-E559,6595
9-78701,6547
10-T451X5A,6527
10-G40909,6522
10-D6959,6498
9-4241,6462
9-28521,6453
9-E8490,6431
10-E1140,6395
9-4240,6384
9-V4365,6330
10-F0390,6275
9-E8788,6129
10-I2720,6102
9-5715,6100
9-78820,6085
10-H409,6060
10-G43909,6000
9-V1581,5988
10-Z8546,5863
10-R079,5858
9-3004,5854
9-29680,5826
9-E8798,5811
10-E870,5789
9-V153,5759
9-V1046,5757
10-F05,5708
10-I5023,5685
10-R1310,5678
10-Z950,5657
10-K766,5638
9-07054,5631
9-79902,5630
10-Z006,5611
10-R6521,5599
9-7802,5588
10-Z9114,5578
10-I951,5567
9-E8889,5520
9-42833,5506
9-7245,5499
10-I739,5484
9-4254,5474
9-4589,5469
10-R112,5467
10-G629,5438
9-36201,5389
10-B9620,5389
9-3659,5349
10-E8342,5329
9-7242,5328
9-V8741,5263
9-99592,5257
10-I214,5253
9-5119,5251
9-07070,5251
9-7840,5240
10-Y848,5239
10-F10129,5233
9-78959,5228
10-Z6841,5198
9-78052,5189
9-V5865,5176
10-M549,5127
9-V4364,5084
10-I350,5072
10-J9811,5048
10-J690,5043
10-R740,5033
10-B1920,5031
9-E9331,4995
9-V4589,4967
9-V4511,4919
10-R0789,4904
9-E8859,4863
9-79092,4858
10-Z681,4842
10-R001,4834
10-Z9981,4812
10-E1151,4806
10-N170,4796
9-0389,4773
10-J90,4756
10-R55,4665
10-I471,4652
10-I120,4650
10-F1010,4620
9-30981,4615
10-I340,4611
9-6826,4596
9-56210,4589
10-N401,4546
9-V1083,4530
10-I255,4519
10-D638,4508
9-42823,4476
9-E8499,4456
10-E46,4447
9-73390,4420
9-27652,4416
10-F32A,4367
9-V1588,4365
9-5070,4357
9-7291,4351
10-Z590,4341
9-25040,4328
9-5712,4321
9-45829,4308
9-2760,4306
10-Z1159,4295
9-41071,4260
9-5770,4215
9-5180,4181
10-M545,4176
9-E8781,4159
10-G893,4151
10-C787,4132
10-D684,4131
9-64891,4092
10-R338,4077
9-E8782,4068
10-R509,4052
10-C7951,4027
10-W19XXXA,4018
9-V173,4009
10-E1142,3994
10-D61818,3985
10-U071,3978
9-78060,3977
9-V707,3942
10-R531,3931
9-2930,3926
9-78702,3921
9-42732,3897
9-7904,3894
10-I4892,3888
10-N1830,3872
9-7140,3863
10-Z720,3832
9-1985,3826
10-I509,3824
9-45981,3821
10-N184,3811
10-R110,3804
10-Z952,3800
9-99859,3792
10-Z7982,3779
10-R109,3775
10-Z923,3751
9-3569,3719
10-R42,3709
9-7907,3695
9-5723,3690
9-V4586,3687
9-7850,3681
10-Z7984,3680
9-28529,3669
10-M069,3664
9-4011,3658
10-E11319,3654
9-V1255,3639
10-Z9049,3637
10-Z9884,3637
9-7804,3619
10-R627,3615
10-I472,3613
10-Z5111,3608
10-D630,3608
9-V600,3597
10-Y832,3593
10-G9341,3593
9-49320,3586
10-R188,3577
9-00845,3577
9-78900,3559
10-B9689,3554
10-D689,3532
10-E8770,3531
10-T380X5A,3525
9-1977,3512
9-4580,3468
9-78097,3461
9-78079,3461
10-K760,3447
9-7295,3438
9-5533,3406
10-M797,3376
9-5771,3374
9-78552,3370
10-R791,3365
10-I8510,3352
9-1970,3341
9-5845,3337
9-V1005,3326
10-K7469,3305
10-Z9221,3295
9-29420,3294
9-V5869,3289
10-R51,3274
10-E440,3273
10-M8580,3265
9-78039,3260
9-70715,3232
9-78720,3221
10-I21A1,3217
10-Z8616,3203
10-K7031,3196
10-F909,3182
9-V08,3179
9-2639,3153
10-F17200,3148
9-58381,3148
10-Z915,3148
10-I132,3145
10-G936,3136
9-V667,3131
9-V4502,3123
10-J441,3117
9-78321,3116
10-K449,3116
9-V462,3112
9-29410,3099
9-5363,3098
9-70703,3089
9-66411,3086
10-E11649,3070
9-V433,3043
9-V5811,3040
10-K921,3038
10-X58XXXA,3034
10-K3184,3027
10-K7030,3021
10-Z8619,3007
9-5854,2988
9-34982,2978
10-R918,2967
9-04149,2964
9-78830,2953
9-99591,2953
10-R29810,2952
9-25050,2943
10-G20,2940
9-7823,2926
10-F0280,2909
9-4139,2907
10-I2699,2905
9-5601,2900
9-56409,2899
10-Z95810,2897
9-4271,2895
9-51889,2895
9-43310,2892
9-2948,2886
9-5718,2885
9-43889,2885
10-F1290,2881
9-V4572,2877
10-K7460,2876
10-R7881,2873
10-R7303,2862
10-D539,2844
10-R911,2839
9-4148,2836
9-5641,2835
9-49121,2833
10-Z3A39,2827
9-V4987,2814
10-R451,2800
9-V0481,2793
10-Z21,2790
10-K7581,2779
10-R569,2776
9-7812,2773
10-G9340,2772
10-K3189,2769
9-78609,2763
9-60001,2758
10-Z85038,2749
10-Z993,2749
9-E8780,2743
9-2689,2726
10-I447,2726
10-Z96653,2725
9-29181,2719
10-W1830XA,2718
9-4111,2712
10-R32,2707
10-O701,2706
9-3310,2701
10-F1120,2698
10-K831,2692
9-30390,2683
10-Z940,2674
9-3485,2669
10-Z6842,2665
10-E890,2654
10-I482,2643
10-Z87440,2643
10-Y831,2632
9-5762,2619
10-I272,2613
10-R7401,2612
9-2753,2610
10-O76,2606
9-30391,2606
9-53550,2596
9-V0251,2595
10-R410,2595
9-E9342,2595
10-K567,2594
9-V1272,2588
9-72989,2586
9-1983,2585
9-04111,2558
9-V420,2551
10-I25110,2551
9-25002,2530
10-E222,2523
10-B952,2511
9-3320,2510
10-I429,2480
9-25080,2478
10-T402X5A,2474
10-R634,2474
10-G2581,2472
9-78909,2449
9-71690,2448
9-2800,2446
10-R4701,2446
9-78009,2434
9-5789,2427
10-E780,2421
9-0414,2413
9-41519,2410
9-04104,2408
9-591,2399
9-78906,2398
9-2989,2395
9-V4579,2366
10-Y9289,2361
10-C786,2360
9-34830,2352
9-V1082,2351
9-V454,2351
10-R739,2350
9-2662,2347
9-30560,2347
9-E9320,2347
10-K7290,2344
10-K2270,2333
9-7820,2332
9-71536,2328
10-B961,2327
9-20280,2325
10-E1121,2325
10-F39,2324
10-F1021,2319
10-T45515A,2315
10-E11621,2310
10-Z96651,2306
10-F10239,2304
9-45621,2303
9-65961,2300
10-Z800,2296
10-R319,2286
9-5761,2284
10-O99824,2280
9-V160,2279
10-R471,2277
10-L03116,2267
9-5559,2264
10-C7931,2264
10-J439,2263
10-W010XXA,2259
9-7862,2256
10-I9581,2248
10-Z85820,2243
10-E538,2242
10-B9561,2234
9-V8801,2219
10-F209,2217
9-99812,2215
9-042,2214
10-Z85118,2209
10-R570,2205
10-I495,2200
10-R600,2182
9-99811,2175
10-I428,2172
10-R64,2164
10-K589,2163
10-L03115,2161
10-K7200,2159
10-Y92234,2155
10-G309,2153
10-K5909,2146
10-Y92238,2146
10-J9621,2144
9-V1302,2144
10-R578,2140
9-33394,2136
9-9971,2134
10-I714,2131
10-R9431,2130
10-R0600,2122
10-I442,2121
9-29690,2119
