icd_code,count
4019,102368
E785,84570
I10,83775
2724,67293
Z87891,62806
K219,56157
53081,48628
25000,43077
F329,41876
I2510,41550
F419,38911
42731,37070
4280,36606
311,36349
41401,36083
N179,35884
Z20822,33113
V1582,31705
Z7901,30957
5849,29136
2449,28521
E039,28000
Z794,27642
E119,26266
3051,25879
2859,24395
F17210,24106
G4733,23933
40390,23831
V5861,22635
30000,22399
E669,22004
D649,21137
I4891,21022
J45909,20679
5990,20387
Z7902,19961
2720,19880
Y929,19830
49390,19703
V5867,19600
D62,19356
Z66,18899
E1122,18564
J449,18025
5859,17872
32723,17556
E871,17069
N390,16696
I129,16650
