block,frequency,n_hadm,icd_code,long_title
401,85330,106298,4010,Malignant essential hypertension
401,85330,106298,4011,Benign essential hypertension
401,85330,106298,4019,Unspecified essential hypertension
272,72613,86030,2720,Pure hypercholesterolemia
272,72613,86030,2721,Pure hyperglyceridemia
272,72613,86030,2722,Mixed hyperlipidemia
272,72613,86030,2723,Hyperchylomicronemia
272,72613,86030,2724,Other and unspecified hyperlipidemia
272,72613,86030,2725,Lipoprotein deficiencies
272,72613,86030,2726,Lipodystrophy
272,72613,86030,2727,Lipidoses
272,72613,86030,2728,Other disorders of lipoid metabolism
272,72613,86030,2729,Unspecified disorder of lipoid metabolism
250,55764,67279,25000,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
250,55764,67279,25001,"Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled"
250,55764,67279,25002,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled"
250,55764,67279,25003,"Diabetes mellitus without mention of complication, type I [juvenile type], uncontrolled"
250,55764,67279,25010,"Diabetes with ketoacidosis, type II or unspecified type, not stated as uncontrolled"
250,55764,67279,25011,"Diabetes with ketoacidosis, type I [juvenile type], not stated as uncontrolled"
250,55764,67279,25012,"Diabetes with ketoacidosis, type II or unspecified type, uncontrolled"
250,55764,67279,25013,"Diabetes with ketoacidosis, type I [juvenile type], uncontrolled"
250,55764,67279,25020,"Diabetes with hyperosmolarity, type II or unspecified type, not stated as uncontrolled"
250,55764,67279,25021,"Diabetes with hyperosmolarity, type I [juvenile type], not stated as uncontrolled"
250,55764,67279,25022,"Diabetes with hyperosmolarity, type II or unspecified type, uncontrolled"
250,55764,67279,25023,"Diabetes with hyperosmolarity, type I [juvenile type], uncontrolled"
250,55764,67279,25030,"Diabetes with other coma, type II or unspecified type, not stated as uncontrolled"
250,55764,67279,25031,"Diabetes with other coma, type I [juvenile type], not stated as uncontrolled"
250,55764,67279,25032,"Diabetes with other coma, type II or unspecified type, uncontrolled"
250,55764,67279,25033,"Diabetes with other coma, type I [juvenile type], uncontrolled"
250,55764,67279,25040,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled"
