block,icd_code,n_hadm,long_title
001,0014,26,Injection or infusion of oxazolidinone class of antibiotics
001,0015,25,High-dose infusion interleukin-2 [IL-2]
001,00163J6,6,"Bypass Cerebral Ventricle to Peritoneal Cavity with Synthetic Substitute, Percutaneous Approach"
001,0017,4,Infusion of vasopressor agent
001,00160J6,2,"Bypass Cerebral Ventricle to Peritoneal Cavity with Synthetic Substitute, Open Approach"
001,00164J6,2,"Bypass Cerebral Ventricle to Peritoneal Cavity with Synthetic Substitute, Percutaneous Endoscopic Approach"
001,0018,2,Infusion of immunosuppressive antibody therapy
001,0012,1,Administration of inhaled nitric oxide
002,0023,2,Intravascular imaging of peripheral vessels
002,0024,1,Intravascular imaging of coronary vessels
003,0039,9,Other computer assisted surgery
003,0033,1,Computer assisted surgery with fluoroscopy
004,0040,253,Procedure on single vessel
004,0045,150,Insertion of one vascular stent
004,0046,61,Insertion of two vascular stents
004,0041,55,Procedure on two vessels
004,0047,21,Insertion of three vascular stents
004,0044,18,Procedure on vessel bifurcation
004,0042,17,Procedure on three vessels
004,0048,11,Insertion of four or more vascular stents
004,0043,5,Procedure on four or more vessels
005,0050,3,"Implantation of cardiac resynchronization pacemaker without mention of defibrillation, total system [CRT-P]"
005,0051,3,"Implantation of cardiac resynchronization defibrillator, total system [CRT-D]"
005,0059,3,Intravascular pressure measurement of coronary arteries
005,00520ZZ,1,"Destruction of Dura Mater, Open Approach"
005,0054,1,Implantation or replacement of cardiac resynchronization defibrillator pulse generator only [CRT-D]
005,0057,1,Implantation or replacement of subcutaneous device for intracardiac or great vessel hemodynamic monitoring
006,0066,184,Percutaneous transluminal coronary angioplasty [PTCA]
006,0061,10,Percutaneous angioplasty of extracranial vessel(s)
006,0063,9,Percutaneous insertion of carotid artery stent(s)
006,0060,5,Insertion of drug-eluting stent(s) of superficial femoral artery
006,0065,1,Percutaneous insertion of intracranial vascular stent(s)
006,0069,1,"Intravascular pressure measurement, other specified and unspecified vessels"
007,0077,14,"Hip bearing surface, ceramic-on-polyethylene"
007,0074,4,"Hip bearing surface, metal-on-polyethylene"
007,0071,3,"Revision of hip replacement, acetabular component"
007,0070,2,"Revision of hip replacement, both acetabular and femoral components"
007,0072,2,"Revision of hip replacement, femoral component"
007,0073,2,"Revision of hip replacement, acetabular liner and/or femoral head only"
007,0075,1,"Hip bearing surface, metal-on-metal"
008,0084,7,"Revision of total knee replacement, tibial insert (liner)"
008,008Q0ZZ,2,"Division of Vagus Nerve, Open Approach"
008,0080,1,"Revision of knee replacement, total (all components)"
008,0081,1,"Revision of knee replacement, tibial component"
009,009U3ZX,101,"Drainage of Spinal Canal, Percutaneous Approach, Diagnostic"
009,0093,22,Transplant from cadaver
009,0094,17,Intra-operative neurophysiologic monitoring
009,009630Z,14,"Drainage of Cerebral Ventricle with Drainage Device, Percutaneous Approach"
009,0091,7,Transplant from live related donor
009,0096,7,Infusion of 4-Factor Prothrombin Complex Concentrate
009,009U3ZZ,6,"Drainage of Spinal Canal, Percutaneous Approach"
009,009430Z,5,"Drainage of Intracranial Subdural Space with Drainage Device, Percutaneous Approach"
009,0092,4,Transplant from live non-related donor
009,009400Z,3,"Drainage of Intracranial Subdural Space with Drainage Device, Open Approach"
009,00940ZZ,2,"Drainage of Intracranial Subdural Space, Open Approach"
009,00943ZZ,2,"Drainage of Intracranial Subdural Space, Percutaneous Approach"
009,009U00Z,2,"Drainage of Spinal Canal with Drainage Device, Open Approach"
009,009U30Z,2,"Drainage of Spinal Canal with Drainage Device, Percutaneous Approach"
