icd_block,proc_block,n_hadm,proc_desc
003,389,1,Arterial catheterization
003,838,1,Tendon graft
003,862,1,Excision of pilonidal cyst or sinus
003,887,1,Diagnostic ultrasound of head and neck
005,389,1,Arterial catheterization
005,991,1,Injection or infusion of thrombolytic agent
008,389,38,Arterial catheterization
008,967,15,Continuous invasive mechanical ventilation of unspecified duration
008,966,13,Enteral infusion of concentrated nutritional substances
008,033,10,Spinal tap
008,451,10,Transabdominal endoscopy of small intestine
008,960,10,Insertion of nasopharyngeal airway
008,991,9,Injection or infusion of thrombolytic agent
008,332,8,Thoracoscopic lung biopsy
008,399,8,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
008,372,6,Noninvasive programmed electrical stimulation [NIPS]
009,048,1,"Peripheral nerve injection, not otherwise specified"
009,389,1,Arterial catheterization
009,413,1,Biopsy of bone marrow
009,451,1,Transabdominal endoscopy of small intestine
009,559,1,Decapsulation of kidney
009,992,1,Injection or infusion of platelet inhibitor
011,332,1,Thoracoscopic lung biopsy
011,340,1,Incision of chest wall
011,399,1,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
011,510,1,Percutaneous aspiration of gallbladder
011,887,1,Diagnostic ultrasound of head and neck
011,966,1,Enteral infusion of concentrated nutritional substances
011,967,1,Continuous invasive mechanical ventilation of unspecified duration
031,389,1,Arterial catheterization
031,819,1,Arthrocentesis
032,389,1,Arterial catheterization
032,392,1,Caval-pulmonary artery anastomosis
032,800,1,"Arthrotomy for removal of prosthesis without replacement, unspecified site"
032,807,1,"Synovectomy, unspecified site"
032,845,1,Insertion of interbody spinal fusion device
032,861,1,Closed biopsy of skin and subcutaneous tissue
032,862,1,Excision of pilonidal cyst or sinus
034,280,1,Incision and drainage of tonsil and peritonsillar structures
034,282,1,Tonsillectomy without adenoidectomy
034,389,1,Arterial catheterization
034,399,1,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
034,413,1,Biopsy of bone marrow
034,967,1,Continuous invasive mechanical ventilation of unspecified duration
034,992,1,Injection or infusion of platelet inhibitor
035,389,3,Arterial catheterization
035,819,1,Arthrocentesis
038,389,141,Arterial catheterization
038,967,74,Continuous invasive mechanical ventilation of unspecified duration
038,966,53,Enteral infusion of concentrated nutritional substances
038,960,38,Insertion of nasopharyngeal airway
038,887,30,Diagnostic ultrasound of head and neck
038,332,28,Thoracoscopic lung biopsy
038,399,24,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
038,991,17,Injection or infusion of thrombolytic agent
038,340,12,Incision of chest wall
038,451,12,Transabdominal endoscopy of small intestine
040,389,3,Arterial catheterization
040,834,2,Excision of tendon for graft
040,967,2,Continuous invasive mechanical ventilation of unspecified duration
040,001,1,"Central Nervous System and Cranial Nerves, Bypass"
040,291,1,Pharyngoscopy
